RL_Reward,RL_Final_Inventory
40.7400000000001,1
36.590000000000146,0
46.1299999999999,1
58.29500000000014,1
76.0000000000001,0
39.659999999999954,0
34.5299999999999,0
54.520000000000095,0
42.94999999999998,1
55.50500000000016,1
43.24,1
42.840000000000025,1
59.91999999999986,0
42.40000000000001,1
50.59999999999991,0
51.27500000000014,1
47.950000000000124,-1
40.3049999999999,1
26.33500000000001,1
22.339999999999975,0
18.78000000000006,1
26.62499999999996,-1
42.00999999999994,1
52.91000000000004,0
50.99000000000003,1
57.46000000000008,0
47.815000000000104,-1
44.33000000000004,0
43.51000000000001,1
65.34999999999994,0
33.220000000000056,0
66.00499999999998,1
54.240000000000116,1
65.44000000000003,1
39.899999999999935,0
49.21000000000007,1
91.6800000000001,1
41.87,2
49.98000000000005,0
57.409999999999926,0
37.970000000000134,-1
28.81000000000009,1
37.484999999999864,1
40.41999999999989,0
43.78000000000005,-1
44.580000000000005,-2
44.25000000000006,0
17.609999999999975,1
26.199999999999974,0
25.340000000000007,-1
44.88,-1
51.83499999999999,-1
49.81500000000006,1
66.6750000000001,1
85.40999999999981,0
77.18999999999994,0
37.629999999999974,1
74.72999999999988,0
51.49999999999977,0
59.179999999999986,1
43.499999999999964,2
35.20999999999998,0
37.120000000000054,-1
71.76000000000003,1
49.96000000000001,0
62.57000000000011,0
42.72000000000004,0
51.60000000000007,2
29.089999999999932,0
49.18499999999995,1
33.69999999999993,0
71.41499999999999,1
49.859999999999836,1
49.83000000000001,0
32.60999999999992,1
31.98000000000006,0
20.66999999999993,0
57.770000000000095,0
19.260000000000034,0
26.82999999999997,0
26.72999999999999,0
16.77,1
46.959999999999944,1
65.98500000000008,-1
57.139999999999915,0
30.429999999999925,1
33.60499999999981,-1
23.29000000000002,0
58.22000000000002,-1
39.67000000000003,0
36.15499999999995,1
34.5000000000001,0
27.80000000000001,0
24.350000000000065,0
35.71999999999999,1
60.054999999999886,1
62.71999999999994,0
44.65000000000002,0
44.53000000000002,-1
36.03499999999999,1
32.79499999999991,1
22.329999999999973,-1
50.84000000000013,0
79.9200000000001,0
52.87499999999998,1
44.35000000000013,1
48.170000000000016,0
64.61,2
49.96999999999998,1
32.504999999999974,-1
20.40999999999999,2
43.750000000000014,0
67.19999999999997,1
31.57500000000002,1
79.3,0
76.3699999999999,-1
61.070000000000064,0
66.84000000000007,0
58.459999999999994,0
84.02500000000012,-3
54.959999999999916,1
31.870000000000033,0
39.709999999999944,2
39.959999999999994,0
17.670000000000016,0
55.48500000000001,-1
48.769999999999875,1
80.01500000000003,-1
39.56000000000011,1
58.12000000000008,1
36.10000000000009,-1
59.29999999999972,1
35.60999999999999,1
27.70999999999998,0
49.485000000000035,-1
44.745000000000026,1
44.63000000000012,0
31.5050000000001,1
22.989999999999927,-1
36.86000000000002,1
78.4149999999999,-1
70.76000000000005,0
25.354999999999965,1
51.699999999999854,-1
32.43000000000002,0
36.38999999999998,1
52.6699999999999,0
68.21999999999998,-1
53.52999999999997,0
31.91999999999998,2
45.63000000000001,0
77.79000000000018,0
68.99000000000002,-2
67.70499999999998,1
43.70999999999992,0
53.69000000000011,0
49.7900000000001,-2
59.20999999999995,0
89.91999999999976,1
52.509999999999906,3
70.17500000000008,1
27.140000000000004,1
68.15000000000009,0
35.03999999999998,0
22.850000000000072,2
54.63500000000001,1
81.26999999999975,0
61.75000000000007,0
83.45500000000008,1
62.56999999999991,0
64.84999999999985,0
58.424999999999976,1
31.44999999999996,0
55.570000000000086,1
55.55000000000009,2
44.36999999999996,0
45.75999999999996,0
55.16999999999999,0
37.650000000000105,0
56.629999999999896,0
62.40999999999994,0
30.039999999999985,2
54.240000000000094,0
48.090000000000046,0
52.54500000000014,1
37.20500000000006,1
36.52999999999994,1
52.569999999999986,1
73.53999999999988,0
45.125000000000064,1
58.684999999999924,1
28.15499999999992,-1
44.28000000000003,0
24.354999999999965,1
32.97999999999999,0
46.06499999999986,1
36.94000000000007,0
40.460000000000036,0
50.6400000000001,0
49.059999999999874,0
38.610000000000035,-1
62.36499999999989,1
58.9149999999999,1
54.77999999999993,0
50.67999999999989,0
65.925,1
44.99999999999996,0
45.43499999999998,1
42.790000000000006,0
28.330000000000087,1
45.1400000000001,0
61.39999999999999,0
29.60000000000018,0
30.22999999999999,0
25.560000000000006,1
61.38000000000005,0
50.49999999999993,0
38.68999999999999,1
32.814999999999934,1
34.00000000000002,-1
51.11000000000009,2
43.480000000000004,0
46.27999999999999,0
57.77999999999987,0
121.04499999999997,1
30.030000000000033,1
35.18499999999998,-1
66.24999999999987,1
51.56000000000006,0
62.33999999999996,0
